tournament,entrant_number,player,entry_type,win,loss,bye
CAFS16,1,Marto,,,,
CAFS16,2,StrixVaria,,,,
CAFS16,3,Zejety,,,,
CAFS16,4,cstick,,,,
CAFS16,5,Pooh_Bear,,,,
CAFS16,6,Mooseknuckles,,,,
CAFS16,7,FrozenStorm,,,,
CAFS16,8,Anemone,,,,
CAFS16,9,Barrelfish,,,,
CAFS16,10,EricF,,,,
CAFS16,11,Khel,,,,
CAFS16,12,CarpeGuitarrem,,,,
CAFS16,13,Alhazard,,,,
CAFS16,14,Swagmaster_Turtle,,,,
CAFS16,15,zhavier,,,,
CAFS16,16,Castanietzsche,,,,
CAFS16,17,PointyFinger,,,,
CAFS16,18,Bomber678,,,,
CAFS16,19,PiHalbe,,,,
CAFS16,20,Drakona,,,,
CAFS16,21,bravo840,,,,
CAFS16,22,jasonwocky,,,,
CAFS16,23,Lettucemode,,,,
CAMS17,1,EricF,,6,3,0
CAMS17,2,Jadiel,,8,1,0
CAMS17,3,FrozenStorm,,3,3,0
CAMS17,4,zhavier,,4,3,0
CAMS17,5,Shadow_Night_Black,,3,3,1
CAMS17,6,Bob199,,2,3,0
CAMS17,7,holytispon,,0,3,1
CAMS17,8,petE,,1,3,1
CAMS17,9,ARMed_PIrate,,1,3,1
CAMS17,10,Eijolend,,0,3,1
CAMS17,11,Penatronic,,3,3,0
CAMS18,1,zhavier,,6,3,1
CAMS18,2,FrozenStorm,,5,3,1
CAMS18,3,Hobusu,,0,3,0
CAMS18,4,Shadow_Night_Black,,3,3,0
CAMS18,5,Shax,,1,3,0
CAMS18,6,Dreamfire,,8,1,1
CAMS18,7,Nekoatl,,2,3,0
CAMS18,8,cstick,,4,3,0
CAMS18,9,CarpeGuitarrem,,1,3,0
CAMS18,10,RathyAro,,2,3,0
CAMS18,11,Lettucemode,,1,3,0
CAMS18,12,charnel_mouse,,2,3,1
CAMS18,13,Bomber678,,5,3,0
CAMS18,14,codexnewb,,0,3,0
CAMS19,1,FrozenStorm,,1,3,0
CAMS19,2,zhavier,,9,1,0
CAMS19,3,Bomber678,,2,3,1
CAMS19,4,charnel_mouse,,2,3,0
CAMS19,5,Nopethebard,,0,3,1
CAMS19,6,EricF,,5,3,1
CAMS19,7,Persephone,,4,3,0
CAMS19,8,Nekoatl,,2,3,0
CAMS19,9,CarpeGuitarrem,,0,3,0
CAMS19,10,James,,1,3,1
CAMS19,11,bansa,,6,3,1
CAMS19,12,Unity,,3,3,0
CAMS19,13,hardy83,,1,3,0
CAMS19,14,codexnewb,,4,3,0
CAMS19,15,bolyarich,,0,1,0
CAMS19,16,Legion,,4,3,0
CAMS20,1,zhavier,,,,
CAMS20,2,FrozenStorm,,,,
CAMS20,3,charnel_mouse,,,,
CAMS20,4,codexnewb,,,,
CAMS20,5,Bomber678,,,,
CAMS20,6,Nopethebard,,,,
CAMS20,7,CarpeGuitarrem,,,,
CAMS20,8,Nekoatl,,,,
CAPS17,1,robinz,,0,3,0
CAPS17,2,NikoBolas,,2,3,0
CAPS17,3,petE,,2,0,0
CAPS17,4,zhavier,,3,3,0
CAPS17,5,ARMed_PIrate,,1,3,0
CAPS17,6,Hobusu,,1,3,1
CAPS17,7,Barrelfish,,1,3,1
CAPS17,8,Jadiel,,3,3,0
CAPS17,9,Mooseknuckles,,3,3,1
CAPS17,10,Shadow_Night_Black,,2,3,0
CAPS17,11,cstick,,4,3,0
CAPS17,12,EricF,,5,3,0
CAPS17,13,FrozenStorm,,8,2,0
CAPS17,14,payprplayn,,1,3,0
CAPS17,15,Kaelii,,0,3,0
CAPS17,16,Shax,,1,2,0
CAPS17,17,Penatronic,,6,3,0
CAPS17,18,Bob199,,6,3,1
CAWS16,1,Jadiel,,,,
CAWS16,2,zhavier,,,,
CAWS16,3,Shax,,,,
CAWS16,4,cstick,,,,
CAWS16,5,FrozenStorm,,,,
CAWS16,6,Legion,,,,
CAWS16,7,Castanietzsche,,,,
CAWS16,8,Barrelfish,,,,
CAWS16,9,petE,,,,
CAWS16,10,PointyFinger,,,,
CAWS16,11,mdn1111,,,,
CAWS16,12,ARMed_PIrate,,,,
CAWS16,13,EricF,,,,
CAWS16,14,Eijolend,,,,
CAWS16,15,Zejety,,,,
CAWS16,16,Mooseknuckles,,,,
CAWS16,17,neigutten,,,,
CAWS16,18,Alhazard,,,,
CAWS16,19,robinz,,,,
CAWS16,20,PiHalbe,,,,
CAWS18,1,zhavier,,4,3,0
CAWS18,2,FrozenStorm,,3,3,0
CAWS18,3,charnel_mouse,,1,3,0
CAWS18,4,EricF,,8,2,1
CAWS18,5,Bob199,,0,3,1
CAWS18,6,Dreamfire,,5,3,1
CAWS18,7,tie,,1,3,1
CAWS18,8,codexnewb,,4,3,0
CAWS18,9,Nekoatl,,2,3,0
CAWS18,10,witspur,,3,3,1
CAWS18,11,thehug0naut,,2,3,0
CAWS18,12,Bomber678,,1,3,0
CAWS18,13,flagrantangles,,2,3,1
CAWS18,14,Marto,,8,3,0
CAWS18,15,Shadow_Night_Black,,0,3,0
CAWS19,1,FrozenStorm,,4,3,0
CAWS19,2,charnel_mouse,,1,3,0
CAWS19,3,CarpeGuitarrem,,1,3,1
CAWS19,4,zhavier,,4,3,0
CAWS19,5,Nopethebard,,0,3,1
CAWS19,6,Akiata,,1,3,0
CAWS19,7,Bomber678,,2,3,1
CAWS19,8,bolyarich,,8,0,0
CAWS19,9,dwarddd,,3,3,0
CAWS19,10,EricF,,2,3,0
CAWS19,11,codexnewb,,4,3,1
CAWS20,1,FrozenStorm,,,,
CAWS20,2,Bomber678,,,,
CAWS20,3,zhavier,,,,
CAWS20,4,charnel_mouse,,,,
CAWS20,5,EricF,,,,
CAWS20,6,CarpeGuitarrem,,,,
CAWS20,7,Nekoatl,,,,
CAWS20,8,Nopethebard,,,,
CAWS20,9,hardy83,,,,
CAWS20,10,Unity,,,,
CAWS20,11,Steve44,,,,
CAWS20,12,bansa,,,,
LDT1,1,Bob199,,,,
LDT1,2,FrozenStorm,,,,
LDT1,3,Andreas,,,,
LDT1,4,petE,,,,
LDT1,5,Shadow_Night_Black,,,,
LDT1,6,ARMed_PIrate,,,,
LDT1,7,zhavier,,,,
LDT1,8,RathyAro,,,,
LDT2,1,Bob199,,,,
LDT2,2,FrozenStorm,,,,
LDT2,3,zhavier,,,,
LDT2,4,RathyAro,,,,
LDT2,5,Legion,,,,
LDT2,6,sKiTTer,,,,
LDT2,7,Salrane,,,,
LDT2,8,Hobusu,,,,
LDT2,9,Dreamfire,,,,
LDT2,10,ARMed_PIrate,,,,
LDT2,11,holytispon,,,,
LDT2,12,codexnewb,,,,
RACE2,1,cstick,,,,
RACE2,2,EricF,,,,
RACE2,3,zhavier,,,,
RACE2,4,YoungBuck,,,,
RACE3,1,FrozenStorm,tortoise,,,
RACE3,2,Castanietzsche,tortoise,,,
RACE3,3,Request,tortoise,,,
RACE3,4,YoungBuck,tortoise,,,
RACE3,5,Ryjak,tortoise,,,
RACE3,6,Anemone,tortoise,,,
RACE3,7,Barrelfish,tortoise,,,
RACE3,8,PiHalbe,tortoise,,,
RACE3,9,PointyFinger,tortoise,,,
RACE3,10,Jadiel,tortoise,,,
RACE3,11,snoc,tortoise,,,
RACE3,12,Mooseknuckles,tortoise,,,
RACE3,13,cinder,tortoise,,,
RACE3,14,Hobusu,tortoise,,,
RACE3,15,Momi,tortoise,,,
RACE3,16,Lettucemode,tortoise,,,
RACE3,17,cstick,tortoise,,,
RACE3,18,Jake,tortoise,,,
RACE3,19,CarpeGuitarrem,tortoise,,,
RACE3,20,jasonwocky,tortoise,,,
RACE3,21,Jude,tortoise,,,
RACE3,22,petE,tortoise,,,
RACE3,23,Bob199,hare,,,
RACE3,24,Marto,hare,,,
RACE3,25,zhavier,hare,,,
RACE3,26,EricF,hare,,,
RACE3,27,Bomber678,hare,,,
RACE3,28,Legion,dragon,,,
XCAFRR19,1,James,,,,
XCAFRR19,2,dwarddd,,,,
XCAFRR19,3,bolyarich,,,,
XCAFRR19,4,charnel_mouse,,,,
XCAFRR19,5,EricF,,,,
XCAFRR19,6,Nopethebard,,,,
XCAFRR19,7,Bomber678,,,,
XCAFRR19,8,UrbanVelvet,,,,
XCAFRR19,9,OffKilter,,,,
XCAFRR19,10,CarpeGuitarrem,,,,
XCAFRR19,11,Persephone,,,,
XCAFRR19,12,Taz,,,,
XCAFRR19,13,zhavier,,,,
XCAFRR19,14,FrozenStorm,,,,
XCAFRR19,15,Nekoatl,,,,
XCAFRR19,16,Leaky,,,,
XCAFRR19,17,codexnewb,,,,
XCAFS18,1,zhavier,,4,3,1
XCAFS18,2,cstick,,5,3,1
XCAFS18,3,Dreamfire,,3,3,0
XCAFS18,4,FrozenStorm,,8,2,0
XCAFS18,5,Bomber678,,2,3,0
XCAFS18,6,charnel_mouse,,1,3,0
XCAFS18,7,thehug0naut,,2,3,0
XCAFS18,8,deluks917,,0,3,0
XCAFS18,9,Marto,,6,3,1
XCAFS18,10,codexnewb,,2,3,0
XCAFS18,11,Nekoatl,,4,3,0
XCAFS18,12,witspur,,0,3,0
XCAFS18,13,CarpeGuitarrem,,1,3,0
XCAFS18,14,EricF,,3,3,0
XCAFS20,1,FrozenStorm,,,,
XCAFS20,2,charnel_mouse,,,,
XCAFS20,3,zhavier,,,,
XCAFS20,4,Bomber678,,,,
XCAFS20,5,EricF,,,,
XCAFS20,6,bansa,,,,
XCAFS20,7,CarpeGuitarrem,,,,
XCAFS20,8,dwarddd,,,,
XCAFS20,9,James,,,,
XCAFS20,10,codexnewb,,,,
XCAFS20,11,Nekoatl,,,,
XCAPS20,1,CarpeGuitarrem,,,,
XCAPS20,2,Bomber678,,,,
XCAPS20,3,FrozenStorm,,,,
XCAPS20,4,Nopethebard,,,,
XCAPS20,5,charnel_mouse,,,,
XCAPS20,6,Shadow_Night_Black,,,,
XCAPS20,7,Akiata,,,,
XCAPS20,8,EricF,,,,
XCAPS20,9,bolyarich,,,,
XCAPS20,10,codexnewb,,,,
XCAPS20,11,dwarddd,,,,
XCAPS20,12,zhavier,,,,
XCAPS20,13,James,,,,
