tournament,entry_type,fixed_deck,deck_type,min_decks,max_decks,driver
CAFS16,,yes,multicolour,1,1,yes
CAMS17,,yes,multicolour,1,1,yes
CAMS18,,yes,multicolour,1,1,yes
CAMS19,,yes,multicolour,1,1,yes
CAMS20,,yes,multicolour,1,1,yes
CAPS17,,yes,multicolour,1,1,yes
CAWS16,,yes,multicolour,1,1,yes
CAWS18,,yes,multicolour,1,1,yes
CAWS19,,yes,multicolour,1,1,yes
LDT1,,yes,multicolour,1,1,yes
LDT2,,yes,multicolour,1,1,yes
LLL2,,no,multicolour,0,0,no
MMM1,,no,monocolour,1,1,yes
RACE2,,yes,multicolour,1,2,yes
RACE3,dragon,yes,multicolour,1,,yes
RACE3,hare,yes,multicolour,1,,yes
RACE3,tortoise,yes,multicolour,1,2,yes
XCAFRR19,,no,multicolour,1,1,no
XCAFS18,,yes,multicolour,1,1,yes
XCAFS20,,yes,multicolour_plus,1,1,yes
XCAPS19,,no,draft,1,1,yes
XCAPS20,,yes,multicolour,1,1,yes
