tournament,player,deck_number,deck
Casual,SergeiB,1,[Future/Past/Present]
Casual,LeonidG,1,[Law/Peace/Truth]
Casual,MikhailB,1,[Balance/Feral/Growth]
Casual,MikhailB,2,[Ninjitsu]/Disease/Feral
Casual,MikhailB,3,[Law/Peace/Truth]
Casual,SergeiB,2,[Discipline/Ninjitsu/Strength]
Casual,AlexanderV,1,[Fire]/Feral/Law
Casual,Boris,1,[Balance/Feral/Growth]
Casual,MaratK,1,[Law/Peace/Truth]
Casual,ValentineA,1,[Law/Peace/Truth]
Casual,LeonidG,2,[Discipline/Ninjitsu/Strength]
Casual,ValentineA,2,[Balance/Feral/Growth]
Casual,ValentineA,3,[Discipline/Ninjitsu/Strength]
Casual,LeonidG,3,[Demonology/Disease/Necromancy]
Casual,ValentineA,4,[Future/Past/Present]
Casual,LeonidG,4,[Balance/Growth]/Anarchy
Casual,ValentineA,5,[Past]/Anarchy/Peace
Casual,LeonidG,5,[Necromancy]/Discipline/Growth
Casual,LeonidG,6,[Necromancy]/Anarchy/Discipline
Casual,LeonidG,7,[Demonology]/Anarchy/Past
Casual,ValentineA,6,[Peace/Truth]/Balance
Casual,ValentineA,7,[Anarchy/Blood/Fire]
Casual,LeonidG,8,[Peace/Truth]/Balance
Casual,LeonidG,9,[Future/Past/Present]
Casual,ValentineA,8,[Demonology/Disease/Necromancy]
Casual,LeonidG,10,[Discipline/Strength]/Finesse
Casual,LeonidG,11,[Anarchy/Fire]/Growth
Casual,LeonidG,12,[Anarchy/Blood/Fire]
Casual,LeonidG,13,[Demonology/Necromancy]/Finesse
Casual,LeonidG,14,[Blood]/Disease/Growth
Casual,AlexanderG,1,[Future]/Anarchy/Peace
Casual,AlexeyN,1,[Demonology/Disease/Necromancy]
Casual,AlexeyN,2,[Discipline/Ninjitsu/Strength]
Casual,LeonidG,15,[Present]/Anarchy/Ninjitsu
Casual,LeonidG,16,[Peace/Truth]/Finesse
Casual,LeonidG,17,[Ninjitsu]/Anarchy/Fire
Casual,LeonidG,18,[Discipline/Ninjitsu]/Balance
Casual,LeonidG,19,[Balance/Feral]/Finesse
Casual,LeonidG,20,[Blood/Fire]/Finesse
Casual,AlexanderG,2,[Future/Past/Present]
Casual,ValentineA,9,[Necromancy]/Growth/Strength
Casual,LeonidG,21,[Demonology]/Ninjitsu/Strength
Casual,AnatolyM,1,[Future/Past/Present]
Casual,LeonidG,22,[Balance]/Necromancy/Peace
Casual,AntonR,1,[Anarchy/Blood/Fire]
