start,end,tournament,round,round_match_number,player1,player2,deck1,deck2,map,victor,victory,format,unknown_order,recorder,notes
2016-09-19,2016-09-20,RACE2,1,1,cstick,EricF,[Demonology]/Anarchy/Law,[Past]/Blood/Peace,,EricF,normal,forum,,charnel_mouse,Cstik
2016-09-19,2016-09-21,RACE2,1,2,zhavier,YoungBuck,[Fire]/Growth/Necromancy,PPA,,zhavier,normal,forum,,charnel_mouse,[Past]/Peace/Ancarchy
2016-09-21,2016-09-22,RACE2,2,1,EricF,zhavier,[Past]/Blood/Peace,[Fire]/Growth/Necromancy,,EricF,normal,forum,,charnel_mouse,
2016-09-22,2016-09-23,CAFS16,1,3,cstick,Drakona,[Demonology]/Anarchy/Law,[Blood/Fire]/Finesse,,cstick,normal,forum,,charnel_mouse,
2016-09-22,2016-09-25,CAFS16,1,1,PiHalbe,Barrelfish,MonoBlack,[Necromancy]/Blood/Growth,,Barrelfish,normal,forum,,charnel_mouse,
2016-09-22,2016-09-25,CAFS16,1,7,Zejety,Lettucemode,[Finesse]/Discipline/Strength,MonoGreen,,Zejety,normal,forum,,charnel_mouse,
2016-09-22,2016-09-25,CAFS16,1,8,Anemone,jasonwocky,MonoBlack,MonoPurple,,Anemone,normal,forum,,charnel_mouse,
2016-09-22,2016-09-26,CAFS16,1,5,bravo840,FrozenStorm,[Necromancy]/Blood/Ninjitsu,PPA,,FrozenStorm,normal,forum,,charnel_mouse,
2016-09-24,2016-09-27,CAFS16,1,4,Bomber678,EricF,[Feral]/Strength/Truth,PPA,,EricF,normal,forum,,charnel_mouse,
2016-09-22,2016-09-27,CAFS16,1,9,Pooh_Bear,PointyFinger,MonoBlack,MonoRed,,Pooh_Bear,normal,forum,,charnel_mouse,
2016-09-23,2016-09-28,CAFS16,1,10,Khel,Castanietzsche,[Feral]/Blood/Peace,MonoBlue,,Khel,normal,forum,,charnel_mouse,
2016-09-22,2016-09-29,CAFS16,1,6,StrixVaria,Swagmaster_Turtle,MonoRed,MonoWhite,,Swagmaster_Turtle,normal,forum,,charnel_mouse,
2016-09-22,2016-09-29,CAFS16,1,11,zhavier,CarpeGuitarrem,MonoGreen,MonoRed,,CarpeGuitarrem,normal,forum,,charnel_mouse,
2016-09-29,2016-09-30,CAFS16,2,4,EricF,cstick,PPA,[Demonology]/Anarchy/Law,,EricF,normal,forum,,charnel_mouse,
2016-09-29,2016-10-02,CAFS16,2,8,Drakona,zhavier,[Blood/Fire]/Finesse,MonoGreen,,zhavier,normal,forum,,charnel_mouse,Drakona drops after this round
2016-10-02,2016-10-02,CAFS16,2,10,PointyFinger,bravo840,MonoRed,[Necromancy]/Blood/Ninjitsu,,PointyFinger,normal,forum,,charnel_mouse,
2016-09-27,2016-10-03,CAFS16,1,2,Mooseknuckles,Marto,[Growth]/Necromancy/Strength,Crashbarrow.dec,,Marto,normal,forum,,charnel_mouse,
2016-09-29,2016-10-03,CAFS16,2,1,Marto,Khel,Crashbarrow.dec,[Feral]/Blood/Peace,,Marto,normal,forum,,charnel_mouse,
2016-09-29,2016-10-04,CAFS16,2,2,StrixVaria,Pooh_Bear,MonoRed,MonoBlack,,StrixVaria,normal,forum,,charnel_mouse,
2016-09-29,2016-10-05,CAFS16,2,5,CarpeGuitarrem,FrozenStorm,MonoRed,PPA,,FrozenStorm,normal,forum,,charnel_mouse,
2016-09-29,2016-10-05,CAFS16,2,7,Swagmaster_Turtle,Barrelfish,MonoWhite,[Necromancy]/Blood/Growth,,Swagmaster_Turtle,normal,forum,,charnel_mouse,
2016-10-03,2016-10-06,CAFS16,2,3,Mooseknuckles,Zejety,[Growth]/Necromancy/Strength,[Finesse]/Discipline/Strength,,Zejety,normal,forum,,charnel_mouse,
2016-09-29,2016-10-07,CAFS16,2,6,Anemone,Alhazard,MonoBlack,Crashbarrow.dec,,Anemone,normal,forum,,charnel_mouse,
2016-09-30,2016-10-07,CAFS16,2,9,jasonwocky,Castanietzsche,MonoPurple,MonoBlue,,Castanietzsche,normal,forum,,charnel_mouse,
2016-10-07,2016-10-07,CAFS16,3,8,PointyFinger,cstick,MonoRed,[Demonology]/Anarchy/Law,,cstick,normal,forum,,charnel_mouse,
2016-09-30,2016-10-08,CAFS16,2,11,PiHalbe,Bomber678,MonoBlack,[Feral]/Strength/Truth,,Bomber678,normal,forum,,charnel_mouse,
2016-10-06,2016-10-08,CAFS16,3,3,FrozenStorm,Anemone,PPA,MonoBlack,,Anemone,normal,forum,,charnel_mouse,
2016-10-06,2016-10-10,CAFS16,3,1,EricF,Marto,PPA,Crashbarrow.dec,,EricF,normal,forum,,charnel_mouse,
2016-10-09,2016-10-11,CAFS16,3,4,Alhazard,Barrelfish,Crashbarrow.dec,[Necromancy]/Blood/Growth,,Alhazard,normal,forum,,charnel_mouse,
2016-10-06,2016-10-11,CAFS16,3,5,zhavier,Pooh_Bear,MonoGreen,MonoBlack,,Pooh_Bear,normal,forum,,charnel_mouse,
2016-10-06,2016-10-12,CAFS16,3,2,Zejety,Swagmaster_Turtle,[Finesse]/Discipline/Strength,MonoWhite,,Zejety,normal,forum,,charnel_mouse,
2016-10-12,2016-10-12,CAFS16,3,10,bravo840,Mooseknuckles,[Necromancy]/Blood/Ninjitsu,[Growth]/Necromancy/Strength,,Mooseknuckles,timeout,forum,,charnel_mouse,Thread not started
2016-10-06,2016-10-13,CAFS16,3,9,Castanietzsche,StrixVaria,MonoBlue,MonoRed,,Castanietzsche,normal,forum,,charnel_mouse,
2016-10-12,2016-10-13,CAFS16,4,6,cstick,Lettucemode,[Demonology]/Anarchy/Law,MonoGreen,,cstick,normal,forum,,charnel_mouse,
2016-10-07,2016-10-15,CAFS16,3,7,Lettucemode,Khel,MonoGreen,[Feral]/Blood/Peace,,Lettucemode,normal,forum,,charnel_mouse,
2016-10-13,2016-10-15,CAFS16,4,1,Anemone,Zejety,MonoBlack,[Finesse]/Discipline/Strength,,Anemone,normal,forum,,charnel_mouse,
2016-10-13,2016-10-15,CAFS16,4,8,PointyFinger,StrixVaria,MonoRed,MonoRed,,StrixVaria,normal,forum,,charnel_mouse,
2016-10-13,2016-10-15,CAFS16,4,9,Barrelfish,Mooseknuckles,[Necromancy]/Blood/Growth,[Growth]/Necromancy/Strength,,Mooseknuckles,normal,forum,,charnel_mouse,
2016-10-13,2016-10-17,CAFS16,4,2,FrozenStorm,EricF,PPA,PPA,,EricF,normal,forum,,charnel_mouse,
2016-10-08,2016-10-18,CAFS16,3,6,Bomber678,CarpeGuitarrem,[Feral]/Strength/Truth,MonoRed,,CarpeGuitarrem,timeout,forum,,charnel_mouse,
2016-10-08,2016-10-18,CAFS16,3,11,jasonwocky,PiHalbe,MonoPurple,MonoBlack,,jasonwocky,normal,forum,,charnel_mouse,
2016-10-13,2016-10-18,CAFS16,4,3,Alhazard,Swagmaster_Turtle,Crashbarrow.dec,MonoWhite,,Alhazard,timeout,forum,,charnel_mouse,"Swagmaster_Turtle times out, then drops"
2016-10-13,2016-10-20,CAFS16,4,4,Marto,Pooh_Bear,Crashbarrow.dec,MonoBlack,,Marto,normal,forum,,charnel_mouse,
2016-10-19,2016-10-21,CAFS16,5,1,EricF,Anemone,PPA,MonoBlack,,EricF,normal,forum,,charnel_mouse,
2016-10-13,2016-10-24,CAFS16,4,7,Castanietzsche,CarpeGuitarrem,MonoBlue,MonoRed,,Castanietzsche,normal,forum,,charnel_mouse,
