GameID,EventID,Player1,Player2,Victor,Player1 Deck,Player2 Deck,Victory_Type,Round,Description
70001,7009,SergeiB,LeonidG,LeonidG,Purple,Blue,normal,NA,
70002,7009,LeonidG,SergeiB,LeonidG,Blue,Purple,normal,NA,
70003,7026,MikhailB,DenisM,MikhailB,Blue,Green,normal,NA,
70004,7026,DmitryK,MikhailB,DmitryK,White,Green,normal,,
70005,7009,MikhailB,DmitryK,DmitryK,Green,White,normal,,
70006,7009,MikhailB,AlexV,MikhailB,White/Feral/Disease/Ninjutsu,Neutral/Demonology/Finesse/Law,,,
70007,7026,LeonidG,MikhailB,LeonidG,Green/Feral/Present/Anarchy,White/Strength/Demonology/Discipline,,,
70008,7102,IgorB,DmitryK,DmitryK,Black/Demonology/Necromancy/Finesse,Purple,,1,
70009,7102,DmitryK,AntonR,DmitryK,Purple,Neutral/Bashing/Balance/Growth,,2,
70010,7102,DmitryK,LeonidG,DmitryK,Purple,White,,3,
70011,7101,IgorB,LeonidG,IgorB,Black/Demonology/Necromancy/Finesse,Neutral/Peace/Truth/Finesse,,2,
70012,7101,IgorB,MikhailB,IgorB,Black/Demonology/Necromancy/Finesse,Purple,,3,
70013,7101,IgorB,AntonR,AntonR,Black/Demonology/Necromancy/Finesse,Red/Blood/Feral/Balance,,4,
70014,7101,LeonidG,DenisM,LeonidG,Neutral/Peace/Truth/Finesse,Green/Balance/Present/Truth,,3,
70015,7101,MikhailB,LeonidG,LeonidG,Purple,Neutral/Peace/Truth/Finesse,,4,
70016,7101,AlexeyN,AntonR,AntonR,Black,Red/Blood/Feral/Balance,,3,
70017,7101,LeonidG,VladC,LeonidG,Neutral/Finesse/Peace/Truth,Red,,1,
70018,7101,DinaB,MikhailB,MikhailB,Green,Purple,,1,
70019,7101,VladP,AntonR,AntonR,Black,Red/Blood/Feral/Balance,,1,
70020,7101,AlexeyN,DenisM,AlexeyN,Black,Green/Balance/Present/Truth,,1,
70021,7101,IgorB,AnastasiaK,IgorB,Black/Demonology/Necromancy/Finesse,Red,,1,
70022,7101,VladC,DenisM,DenisM,Red,Green/Balance/Present/Truth,,2,
70023,7101,VladP,AnastasiaK,VladP,Black,Red,,2,
70024,7101,AntonR,DinaB,AntonR,Red/Blood/Feral/Balance,Green,,2,
70025,7101,AlexeyN,MikhailB,MikhailB,Black,Purple,,2,
70026,7101,AlexeyN,VladP,AlexeyN,Black,Black,,4,
70027,7101,VladC,VladP,VladP,Red,Black,,3,
70028,7009,SergeiB,MikhailB,SergeiB,Purple,Blue,,,
70029,7009,MikhailB,SergeiB,SergeiB,Blue,Purple,,,
70030,7009,SergeiB,MikhailB,MikhailB,Purple,Purple,,,
70031,7025,Boris,MikhailB,Boris,Purple,White/Strength/Discipline/Demonology,,,
70032,7025,MikhailB,Boris,MikhailB,White/Strength/Discipline/Demonology,Blue,,,
70033,7025,Boris,MikhailB,MikhailB,Green,White/Strength/Discipline/Demonology,,,
70034,7025,MikhailB,IvanB,MikhailB,Black,Purple,,,
70035,7025,LeonidG,MikhailB,LeonidG,Black/Demonology/Balance/Anarchy,Purple,,,
70036,7021,AnatolyM,LeonidG,LeonidG,Purple,Green/Growth/Anarchy/Fire,,,
70037,7021,LeonidG,AnatolyM,LeonidG,Green/Balance/Necromancy/Peace,Purple,,,
70038,7100,ValentineA,LeonidG,ValentineA,Black,White,,3,
70039,7100,ValentineA,AntonR,ValentineA,Black,Red,,2,
70040,7100,LarikB,LeonidG,LeonidG,Purple,White,,2,
70041,7100,EgorS,ValentineA,ValentineA,Blue,Black,,1,
70042,7100,LeonidG,AnatolyM,LeonidG,White,Purple,,1,
70043,7009,SergeiB,ValentineA,SergeiB,White,Green,,,
70044,7100,AlexanderV,SergeiB,SergeiB,Neutral/Peace/Finesse/Demonology,Green/Blood/Anarchy/Feral,,,
