tournament,tournament_type,notes
CAFS16,tournament,
CAMS17,tournament,
CAMS18,tournament,
CAMS19,tournament,
CAMS20,tournament,
CAMS21,tournament,
CAPS17,tournament,
CAWS16,tournament,
CAWS18,tournament,
CAWS19,tournament,
CAWS20,tournament,
CAWS21,tournament,
LDT1,tournament,Let's Do This; Run under Seasonal Swiss rules
LDT2,tournament,Let's Do This; Run under Seasonal Swiss rules
LLL2,tournament,"Lum's Lucky Lottery: random decks, non-mono and non-Demonology decks with at least one previous recorded win (full list in tournament thread); four rounds of Swiss, then single elimination for top four"
MMM1,series,
RACE2,tournament,"Round robin Asynchronous Codex Extravagansa; only final and semifinals available on forum, so entrants etc. are incomplete. Maximum decks allowed is a guess, based on Ericf's match intros."
RACE3,tournament,"Round robin Asynchronous Codex Extravagansa; tortoise players pick two decks and have a game active for both at all times, hare players pick any number of decks; as such, there are no rounds, so the round number for RACE3 indicates which set of posted matches the match is in. Finals appear to have not been played."
XCAFRR19,tournament,"Car, not Driver: players in two round robin groups until finals; fixed deck choice, used by other players in other group, earn points for wins and deck's wins"
XCAFS18,tournament,"Standard tournament with banlist: Growth+Strength, Purple+Peace, Demonology+Necromancy"
XCAFS20,tournament,Tournament with community changelist for cards
XCAPS19,tournament,"P2 starter + spec, P1 starter + 2 specs, P2 2 specs, P1 1 spec. Full draft decks allowed to stop colour blocking"
XCAPS20,tournament,Map tournament
XCAPS21,tournament,"Midori's Balanced Bouts (model chooses deck for a fair matchup, not accounting for players involved)"
XCAFRR21,tournament,"Mono Colour Six Shooter: everyone plays each monocolour deck once in a round robin (split into pods), then up to once each in single-elimination among qualifiers. Vandy is replaced by Troq, who's counted as Black for gold costs, but still with Demonology non-spell cards (""Black Bashing""). In advance, everyone can pick one non-Black spec to replace with Finesse. Matches all posted at once, in three suggested groupings and two matches per grouping for each player. Suggested two-week playtime per grouping."
